anime_id,people_id,staff_role
352,6459,"Storyboard (eps 6, 13, 35, 41, 47), Episode Director (eps 6, 13, 35, 41, 47)"
2948,6459,"Director, Storyboard"
12467,6459,"Storyboard (ep 9), Episode Director (ep 9)"
1287,6459,"Episode Director, Assistant Director (Assistant Episode Director)"
350,6459,"Storyboard (eps 39, 49), Episode Director (eps 39, 49)"
353,6459,"Storyboard (eps 5, 12, 19, 28), Episode Director (eps 5, 12, 19, 28)"
1376,6459,"Storyboard (eps 4, 6), Episode Director (eps 4, 6)"
351,6459,"Director, Storyboard (eps 3-4, 42, 48-49), Episode Director (eps 3-4, 42, 48-49)"
2947,6459,Director
21,6459,"Storyboard (ep 6, 11, 167), Episode Director (ep 6, 11, 167)"
23515,6459,Assistant Director
1492,6459,Storyboard (ep 4)
1493,6459,"Storyboard (eps 2, 6, 17, 20)"
210,6459,"Storyboard (ep 3), Episode Director (ep 3)"
238,6459,Storyboard (ep 32)
34307,6459,Director
1254,6459,"Storyboard (eps 8, 13, 18, 26, 30, 34, 38, 42, 46, 52, 57, 61-), Episode Director (eps 8, 13, 18, 26, 30, 34, 38, 42, 46, 52, 57, 61,)"
1258,6459,Director
1257,6459,"Director, Storyboard (eps 1, 9, 12-13), Episode Director (eps 1, 9, 12-13)"
6154,6459,Director
1260,6459,Director
1255,6459,Director
1259,6459,Director
1080,6459,Storyboard (ep 4)
1559,6459,"Storyboard (ep 33, 44), Episode Director (ep 33)"
13125,6459,"Storyboard (ep 5, 10, 14), Episode Director (ep 5, 10)"
31321,6459,Assistant Director
979,6459,"Director, Producer"
16524,6459,"Storyboard (ep 6), Episode Director (ep 6)"
6758,6459,"Storyboard (ep 20), Episode Director (ep 20)"
10278,6459,"Storyboard (ep 9), Episode Director (ep 9)"
5832,6459,"Storyboard (eps 7, 12, 16, 20, 25, 27, 31, 33), Episode Director (eps 7, 12, 16, 20, 25, 27, 31, 33)"
6213,6459,"Storyboard (ep 9), Episode Director (ep 9)"
10224,6459,"Storyboard (eps 3, 7, 10, 15), Episode Director (eps 3, 7, 10, 15)"
4183,6459,"Storyboard (ep 32), Episode Director (ep 32)"
6672,6459,"Storyboard (eps 6, 11, 15, 18, 23, 28, 32, 37, 42), Episode Director (eps 6, 11, 15, 18, 23, 28, 32, 37, 42)"
184,6459,Director
4651,6459,"Storyboard (ep 6), Episode Director (ep 6)"
9331,6459,"Director, Storyboard (eps 1-3, 5-6, 11-13, OP, ED), Episode Director (eps 1-3, 5, 13, OP, ED)"
249,21453,Casting Director (in Latin dub)
14741,37545,Script (English version)
18671,37545,Script (English version)
14829,37545,Script (English version)
16009,37545,Script (English version)
20423,37545,Script (English version)
11021,37545,Script (English version)
16742,37545,Script (English version)
576,5578,Theme Song Performance (Clover - ED)
2471,39962,Theme Song Performance (OP)
5096,39962,Theme Song Performance (OP)
6930,39962,Theme Song Performance
6988,39962,Theme Song Performance
31201,39962,Theme Song Performance (OP)
6895,39962,Theme Song Performance (ED)
9065,39962,Theme Song Performance (ED)
13115,39962,Theme Song Performance (ED)
6900,39962,Theme Song Performance (ED)
50183,7446,Original Creator
68,20088,"2nd Key Animation (eps 10-11), Key Animation (eps 11, 16-17, 21)"
889,20088,Key Animation (ep 6)
4981,20088,"Storyboard (ep 20), Episode Director (ep 20), Animation Director (ep 20), 2nd Key Animation (ep 23), Key Animation (eps 5, 20, 22, 24)"
35120,20088,Producer
39792,20088,Producer
23311,20088,"Storyboard (OP2), Episode Director (OP2), Editing (OP2)"
4983,20088,Key Animation
3701,20088,"Script (ep 5), Storyboard (eps 5, 8), Episode Director (eps 5, 8), Animation Director (eps 5, 8), 2nd Key Animation, Key Animation (eps 5, 8, 11)"
1454,20088,"Episode Director (ep 10 Avant), Animation Director (Episode 6), Background Art (ep 10 Avant), Key Animation (eps 1-3, 5, 8, 10, 13)"
16149,20088,"Assistant Director, Color Design, Key Animation, Assistant Animation Director"
22135,20088,"Episode Director (ep 10, ED), Assistant Director, Key Animation (ep 2, ED)"
20057,20088,"Script (ep 9 (Original Story)), Storyboard (ep 9), Episode Director (ep 9), Original Creator (ep 9), Character Design (ep 9), Key Animation (ep 9), Setting (ep 9)"
49357,20088,Director
39183,20088,Producer
1587,20088,Key Animation (Episode 12)
1703,20088,Key Animation (ep 6)
935,20088,Key Animation (ep 2)
34792,20088,Producer
7785,20088,"Storyboard (ep 10), Episode Director (ep 10), Key Animation (ep 10)"
34537,20088,"Storyboard, Producer"
5278,1357,Inserted Song Performance (Gizagiza Make a Motion)
32948,29447,Original Creator
40014,29447,Original Creator
37965,29447,Original Creator
49,435,Theme Song Performance
304,435,Inserted Song Performance
2537,435,Theme Song Performance (OP)
1560,435,Theme Song Performance (ED 2)
2474,435,Theme Song Performance
5308,435,Theme Song Performance
35183,18173,Original Character Design
37990,18173,Original Character Design
34572,48390,Theme Song Performance (OP9 & ED3)
35972,48390,Theme Song Performance (ED2)
43690,48390,Theme Song Performance (OP)
2981,6094,Music
440,6094,Music
441,6094,Music
1681,15079,Music
26,15079,Theme Song Performance (OP)
225,40468,Theme Song Performance (ep 64)
550,40468,Theme Song Performance
42129,9361,Key Animation
31147,9361,"Character Design, Chief Animation Director"
32313,9361,"Character Design, Chief Animation Director"
1,9361,Key Animation
121,9361,Character Design
15335,9361,Key Animation
36884,9361,Character Design
237,9361,"Key Animation (ep 20, 25, 31, 42)"
96,9361,Key Animation
853,9361,"Key Animation (ep 1, 13)"
3588,9361,"Character Design, Chief Animation Director"
20057,9361,"Character Design, Chief Animation Director"
23327,9361,"Character Design, Chief Animation Director"
12857,9361,"Character Design, Chief Animation Director, Key Animation"
8934,9361,"Character Design, Chief Animation Director"
2418,9361,Animation Director
5681,9361,Key Animation
2001,9361,Key Animation (ep24)
48580,9361,"Character Design, Chief Animation Director"
11759,16559,Executive Producer
492,16559,Producer
105,16559,Producer
693,16559,Producer
1536,16559,Producer
933,16559,Producer
5150,16559,Producer
10568,16559,Producer
143,16559,Producer
3464,16559,Producer
1810,16559,Producer
13655,16559,Executive Producer
7590,16559,Producer
9181,16559,Producer
6946,16559,Producer
1738,16559,Producer
1688,16559,Producer
615,16559,Producer
921,16559,Producer
10572,16559,Producer
355,16559,Producer
2787,16559,Producer
6773,16559,Producer
1815,16559,Producer
6572,16559,Producer
342,16559,Producer
6758,16559,Producer
1048,16559,Producer
6213,16559,Producer
9047,16559,Producer
4654,16559,Producer
8937,16559,Producer
5454,16559,Producer
5157,22045,Episode Director
1893,22045,Episode Director (ep 15)
232,22045,"Episode Director (eps 59, 65, 70)"
372,22045,Assistant Director
59,22045,"Episode Director (eps 9, 18), Assistant Director"
1311,22045,Episode Director
1818,22045,"Director, Storyboard (ep 26, ED), Episode Director (eps 1, 26, ED)"
563,22045,Episode Director (ep 3)
1179,22045,"Storyboard (eps 9, 14, 19), Episode Director (eps 1 , 4, 9, 14, 19, 25), Assistant Director"
242,22045,"Episode Director (eps 5, 12)"
10793,22045,"Storyboard (eps 2, 10), Episode Director (eps 2, 10, OP2), Assistant Director"
10271,22045,Storyboard (ep 22)
3002,22045,"Storyboard (ep 22), Episode Director (eps 10, 22)"
777,22045,"Director (eps 5-7), Episode Director (ep 5)"
13271,22045,"Storyboard, Episode Director"
1454,22045,Episode Director (ep 4)
28623,22045,Assistant Director
16498,22045,"Episode Director (ep 1), Assistant Director"
25777,22045,"Episode Director (ep 1, 6, 11), Assistant Director"
35760,22045,"Episode Director (ep 1, 7), Assistant Director"
38524,22045,"Episode Director (ep 1, 6), Assistant Director"
1081,22045,"Episode Director (eps 7, 9, 12)"
658,22045,"Storyboard (eps 6, 16, 25), Episode Director (eps 2, 6, 16, 23, 25, OP), Assistant Director"
1952,22045,"Episode Director (eps 2, 4)"
39518,22045,Assistant Director
155,22045,Assistant Director
34257,36649,Theme Song Performance (ED2)
35805,36649,Theme Song Performance (ED1)
35346,36649,Theme Song Performance (ED2)
2598,15617,"Theme Song Performance (OP #2), Inserted Song Performance (Ep. 24)"
865,15617,Theme Song Performance (OP #1)
85,15617,Theme Song Performance (OP #1)
1962,5405,Mechanical Design
2025,5405,"Storyboard (ep 5, 11, 23)"
12471,5405,"Director, Storyboard"
2759,5405,Storyboard (new footage)
71,5405,Storyboard
121,5405,"Storyboard (ep 10, 11, 16, OP2), Episode Director (OP2)"
6867,5405,"Director (Prototype), Storyboard (Prototype)"
1086,5405,"Storyboard (ep 3, 7, 12, 15), Episode Director (ep 3)"
237,5405,Director
35134,5405,Director (Chief Director)
35135,5405,Director
35136,5405,"Director, Screenplay"
1631,5405,Director
4246,5405,"Director, Storyboard"
853,5405,"Storyboard (ep 20, 24), Episode Director (ep 24)"
559,5405,"Director, Script"
758,5405,"Director, Script"
13391,5405,"Storyboard, Episode Director"
1827,5405,"Storyboard (OP), Episode Director (OP)"
2161,5405,"Storyboard (ED), Episode Director (OP, ED)"
15605,5,Theme Song Performance
25437,5,Theme Song Performance
3389,5,Theme Song Performance
36934,5,Theme Song Performance (ED)
11703,5,Theme Song Performance
15633,5,Theme Song Performance
26349,5,Theme Song Performance
29067,5,Theme Song Performance
1132,5,Inserted Song Performance
35191,5,Theme Song Performance (ED)
22265,5,Theme Song Performance
32648,5,Theme Song Performance (ED)
36220,5,Theme Song Performance (ED)
14765,5,Inserted Song Performance (ep 19)
10568,5,Theme Song Performance
31174,5,Theme Song Performance
35067,5,Theme Song Performance (ED2)
42391,5,Theme Song Performance (ED2)
32026,5,Theme Song Performance
34238,5,Theme Song Performance (ED)
30240,5,Theme Song Performance
1037,5,Theme Song Performance
7705,5,Theme Song Performance
41132,5,Theme Song Performance
12029,5,Theme Song Performance (TV OP)
1648,5,Theme Song Performance
48573,5,"Theme Song Performance, Inserted Song Performance"
10321,5,"Theme Song Performance, Inserted Song Performance"
12711,5,"Theme Song Performance, Inserted Song Performance"
19251,5,"Theme Song Performance, Inserted Song Performance"
31178,5,Theme Song Performance
21439,5,"Theme Song Performance, Inserted Song Performance"
33966,5,Theme Song Performance (ED)
39093,28849,Animation Director
24823,28849,Animation Director
24429,28849,Animation Director
33219,28849,"Director, Script, Screenplay"
21603,28849,"Storyboard (OP), Original Character Design, Key Animation (OP)"
30913,28849,Original Character Design
36494,28849,Original Character Design
32189,37714,"Theme Song Arrangement, Theme Song Composition"
24873,37714,Theme Song Arrangement (OP)
28297,37714,"Theme Song Arrangement (OP), Theme Song Composition (OP)"
32175,37714,"Theme Song Arrangement, Theme Song Composition"
19747,4698,Original Creator
16954,4698,Original Creator
5973,1951,Original Creator
21599,1951,Original Creator
7744,1951,Original Creator
17919,1951,Key Animation (ep 1)
4603,1951,Original Creator
274,1951,Principle Drawing (Eyecatch: ep 21)
5042,1951,Original Creator
7593,1951,Original Creator
412,1951,Key Animation (ep 1)
276,1951,Original Character Design
277,1951,"Original Character Design, Key Animation (ep 1)"
7066,1951,"Original Character Design, Principle Drawing (Eyecatch: eps 1-2)"
343,1951,Principle Drawing (ep 14)
3011,1951,Original Character Design
2076,30561,Theme Song Performance (ED 4)
40906,48848,Theme Song Performance (OP)
37965,48848,Theme Song Performance (ED)
37764,45738,Inserted Song Performance
32792,45738,Theme Song Performance (OP1)
34561,45738,"Theme Song Lyrics (OP1, ED1), Theme Song Performance (OP1, OP2, ED1)"
41296,45738,Theme Song Performance
37948,10854,"Director, Animation Director"
40995,10854,Director
36156,10854,"Director, Animation Director"
33089,10854,"Director, Storyboard, Episode Director"
37311,10854,Director
37302,10854,"Director, Script, Original Creator"
19919,10854,Animation Director
21851,10854,Animation Director
28835,10854,Animation Director
36119,10854,Director
32866,9873,Theme Song Performance (ED)
33350,47510,Inserted Song Performance
33541,39128,Theme Song Performance (OP)
12149,23599,Theme Song Performance
14941,23599,Theme Song Performance
851,2770,Original Creator
200,2770,Original Creator
14367,2770,Original Creator
11769,10864,Original Creator
11005,10864,Original Creator
9599,10864,Original Creator
22585,10864,Character Design
11807,10864,Original Creator
25907,39957,Theme Song Lyrics (ED)
1209,2910,Original Creator
3111,2910,Original Creator
23135,22183,Theme Song Performance (プリパラドリーム☆オールスターズ)
23613,47683,Music
37193,47683,"Theme Song Arrangement, Theme Song Lyrics"
1443,47683,Music (ep 1)
33478,11893,"Theme Song Performance (OP, ED)"
34915,45607,"Theme Song Performance (OP, ED2, ED6), Inserted Song Performance"
43201,46839,Music
42793,46839,"Theme Song Arrangement, Theme Song Composition, Theme Song Lyrics, Theme Song Performance"
38671,46839,"Theme Song Arrangement (ED), Theme Song Composition (ED), Theme Song Lyrics (ED), Theme Song Performance (ED)"
42820,46839,Music
39235,46839,"Theme Song Arrangement (ED), Theme Song Composition (ED), Theme Song Lyrics (ED), Theme Song Performance (ED)"
40152,46839,Music
37352,46839,Music
36492,46839,Music
40153,46839,Music
17635,16417,Original Character Design
25867,16417,Original Character Design
13333,16417,Original Character Design
13409,14889,Theme Song Performance (ED)
11665,14889,Theme Song Performance (OP)
530,11977,Theme Song Performance (ED2)
1598,11977,Theme Song Performance (ED 3)
223,11977,Theme Song Performance (ED)
502,11977,Theme Song Performance (ED)
891,11977,Theme Song Performance (ED)
3023,11977,Theme Song Performance
9880,11977,Theme Song Performance
4060,11977,Theme Song Performance (OP/ED)
5534,11977,Theme Song Performance (ED1)
3434,11977,"Theme Song Performance (OP, ED)"
2569,11977,Theme Song Performance (ED)
3183,11977,Theme Song Performance (ED)
5907,11977,"Theme Song Performance (ED), Inserted Song Performance"
7575,11977,"Theme Song Performance (OP, ED)"
4061,11977,Theme Song Performance ((OP/ED) )
3446,43712,ADR Director
896,43712,ADR Director
506,3028,Original Creator
1974,3028,Original Creator
17707,3028,Original Creator
3734,3028,Original Creator
235,40469,Theme Song Performance (ep 744-756)
38022,40469,Theme Song Performance
13335,2932,Original Creator
8425,2932,Original Creator (story)
10504,2932,Original Creator
45425,46789,Theme Song Lyrics (ED)
35540,46789,Theme Song Performance (OP)
38835,46789,Theme Song Performance
962,61,"Inserted Song Performance (eps 18, 19)"
5081,61,Theme Song Performance (OP1)
456,61,Theme Song Performance (ED2)
6574,61,Theme Song Performance (ED9)
18247,61,Theme Song Performance
21653,61,Theme Song Performance
3464,61,Theme Song Performance (Ending)
1516,61,Inserted Song Performance (The songs of Aoi Kirisawa)
5678,61,Inserted Song Performance (ep 13)
32268,61,Theme Song Performance (OP2)
10456,61,Inserted Song Performance (ep 9)
1915,61,Inserted Song Performance (ep 8)
17074,61,Theme Song Performance
1546,61,Theme Song Performance (OP8)
11597,61,Theme Song Performance (OP1)
18095,61,Theme Song Performance
16397,61,Theme Song Performance
4214,61,Inserted Song Performance (ep 6)
17821,61,Theme Song Performance (ED)
3667,61,Theme Song Performance (ED eps 5 & 12)
6381,61,Theme Song Performance (ED eps 5 & 12)
23725,61,Theme Song Performance
19843,61,Theme Song Performance
343,61,Theme Song Performance (OP)
965,61,Theme Song Performance
14811,18297,Original Character Design
21635,18297,Original Character Design
47623,55250,"Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)"
37438,54387,Theme Song Performance (OP & ED)
9811,39622,Original Creator
1225,17799,Key Animation (ep 1)
1533,17799,"Key Animation (eps 3, 17, 23, 29, 44, 50-51)"
5251,17799,Key Animation
9119,17799,"Storyboard (eps 8, 36, 53, 74, 87, 123, 144, 154), Animation Director (eps 8, 36, 53, 74, 87, 123, 144, 154), Key Animation (eps 8, 36, 53, 74, 87, 123, 144, 154)"
110,17799,"Key Animation (eps 23, 29, 33, 38, 43, 47, 52)"
2803,17799,"Key Animation (eps 4, 9, 14, 20, 25, 29, 34, 39, 43, 46)"
235,17799,Key Animation
2950,17799,Key Animation
7816,17799,Key Animation
813,17799,"Key Animation (eps 174, 179, 184, 191, 195, 201, 207, 226, 234, 2)"
6518,17799,Key Animation
1859,17799,"In-Between Animation, Inserted Song Performance"
3838,17799,Key Animation
5153,17799,In-Between Animation
727,17799,"Key Animation (eps 15, 47)"
435,17799,Key Animation
5274,17799,Key Animation
601,17799,In-Between Animation
5440,17799,"Key Animation (eps 4, 9, 15, 25, 30, 32, 36-37, 41, 46)"
527,17799,"Animation Director (ep 59, 66, 77, 81, 91, 96, 104, 107, 110, 117, 132), Key Animation"
1564,17799,"Animation Director (ep 4, 8, 12, 17, 22, 32, 37, 44, 47, 51, 55, 60, 6), Key Animation"
9107,17799,"Animation Director (ep 5, 13, 18, 18, 26, 27, 32, 38, 43, 48, 56, 61, ), Key Animation"
14093,17799,Key Animation
17115,17799,Animation Director
1525,17799,Key Animation
1565,17799,"Animation Director (ep 6, 11, 16, 21, 26, 31, 33, 39, 42, 46, 52, 57, ), Key Animation"
5256,17799,Key Animation
2363,17799,Animation Director (ep 6)
40143,17799,Character Design
528,17799,Key Animation
1117,17799,Key Animation
1118,17799,Key Animation
1119,17799,Key Animation
1120,17799,Animation Director
1122,17799,Key Animation
1526,17799,Key Animation
2201,17799,Animation Director
2847,17799,Key Animation
4026,17799,Key Animation
6178,17799,Key Animation
34540,17799,Key Animation
34034,17799,"Key Animation (eps 2-3, 5, 9, 12, 15-23, 27-28, 30, 33, 39, 44, 4)"
19291,17799,"Animation Director, Key Animation, Assistant Animation Director"
31592,17799,"Animation Director, Key Animation"
1709,17799,"Animation Director, Key Animation"
5529,17799,Key Animation
4794,17799,Key Animation
4874,17799,Animation Director (ep 1)
10917,17799,"Animation Director (ep 1, 2)"
4792,17799,Key Animation
1553,17799,Key Animation (ep 2)
9885,17799,Key Animation
4532,17799,"Key Animation (eps 5, 11, 19-20, 24-25, 29, 34)"
12029,17799,"Key Animation (eps 10, 20)"
33064,17799,Key Animation (ep 3)
6718,17799,Key Animation (eps 1-3)
3325,17799,"Key Animation (eps 3, 8, 15, 20, 25, 29, 34, 40, 44, 48)"
5075,17799,"Key Animation (eps 2, 5, 10, 13, 15, 19, 21, 26-27, 31, 33, 38, 4)"
3505,17799,"Key Animation (eps 6, 11, 18, 23, 28, 31, 33, 36, 38, 42, 45)"
3486,17799,"Key Animation (eps 7, 13, 18, 24, 27, 29, 32, 35, 40-41, 44-45, 4)"
890,17799,"Key Animation (eps 2, 4, 8, 13, 18, 22, 29, 32, 36, 40, 44, 48)"
35849,26641,Series Composition
671,26641,Script (ep 3)
1071,26641,Script
362,26641,Script
27775,26641,"Script, Original Creator"
13599,26641,Storyboard (ep 2)
27957,26641,Script
748,26641,Script
40335,36953,Original Character Design
39495,38493,Original Creator
48405,38493,Original Creator
918,6707,"Theme Song Arrangement (R2), Theme Song Composition (R2), Theme Song Lyrics (R2), Theme Song Performance (R2)"
1735,6707,"Theme Song Arrangement (OP4, ED32), Theme Song Composition (OP4, ED32), Theme Song Lyrics (OP4, ED32), Theme Song Performance (OP4)"
31221,6707,"Theme Song Arrangement (ED), Theme Song Composition (ED), Theme Song Lyrics (ED)"
50110,55450,Director
6408,12847,Key Animation
304,12847,Key Animation
