people_id,people_fullname,birthday,member_favorites,people_img_url
12525,Matsuda Shiori,"May  20, 1984",0,https://cdn.myanimelist.net/images/voiceactors/3/16877.jpg
40225,McLeod Lynsey,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/41294.jpg
10831,Tachikawa Mitsutaka,"Nov  15, 1949",2,https://cdn.myanimelist.net/images/voiceactors/3/9464.jpg
40085,Alsina Sharon,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/40902.jpg
7637,Yamakado Kumi,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/4798.jpg
604,Miyake Kaya,"Mar  2, 1985",25,https://cdn.myanimelist.net/images/voiceactors/1/56618.jpg
33349,Beeck Heike, 1970,0,https://cdn.myanimelist.net/images/voiceactors/1/33989.jpg
56710,Chauveau Violette,"Sep  18, 1963",0,https://cdn.myanimelist.net/images/voiceactors/2/67589.jpg
55808,Antoine Adrien,"Apr  29, 1980",1,https://cdn.myanimelist.net/images/voiceactors/3/66183.jpg
53966,Takeuchi Ryouma,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/63035.jpg
7914,Saitou Jirou,May  24,7,https://cdn.myanimelist.net/images/voiceactors/3/54843.jpg
5679,BoA,"Nov  5, 1986",575,https://cdn.myanimelist.net/images/voiceactors/3/52915.jpg
45518,Walkenbach Sabine,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/48965.jpg
11269,Hosomi Daisuke,"Nov  23, 1973",17,https://cdn.myanimelist.net/images/voiceactors/3/11475.jpg
6235,Fukamizu Yumi,May  19,1,https://cdn.myanimelist.net/images/voiceactors/1/15639.jpg
1427,Tanonaka Isamu,"Jul  19, 1932",8,https://cdn.myanimelist.net/images/voiceactors/3/4785.jpg
45466,Takami Hiroyuki,"Jun  3, 1969",0,https://cdn.myanimelist.net/images/voiceactors/2/48900.jpg
3928,Lin Qing Hui,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/1/2055.jpg
56527,Ingard Cédric,Apr  7,0,https://cdn.myanimelist.net/images/voiceactors/2/67341.jpg
39051,Terao Yuuichi,Unknown,88,https://cdn.myanimelist.net/images/voiceactors/1/41646.jpg
4114,Takahashi Yashichiro,Unknown,42,https://cdn.myanimelist.net/images/voiceactors/3/13621.jpg
56539,Brunner Pauline,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/67309.jpg
26645,De Boüard Vincent,May  15,7,https://cdn.myanimelist.net/images/voiceactors/2/28751.jpg
14025,Ivars Luis Vicente,Unknown,2,https://cdn.myanimelist.net/images/voiceactors/1/50177.jpg
7414,Niki Shizumi,Sep  20,2,https://cdn.myanimelist.net/images/voiceactors/3/63862.jpg
7227,Araki Hirofumi,"Jun  14, 1983",10,https://cdn.myanimelist.net/images/voiceactors/2/6235.jpg
8408,Papucsek Vilmos,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/5606.jpg
10693,Tickner French, 1930,4,https://cdn.myanimelist.net/images/voiceactors/3/9245.jpg
42362,Petronijevic Dan,Unknown,4,https://cdn.myanimelist.net/images/voiceactors/3/58266.jpg
24629,Ute Kazuko,"Feb  4, 1927",0,https://cdn.myanimelist.net/images/voiceactors/3/27253.jpg
44266,Shouhei,Dec  13,3,https://cdn.myanimelist.net/images/voiceactors/3/54464.jpg
30449,Hashimoto Shouta,Unknown,2,https://cdn.myanimelist.net/images/voiceactors/2/35343.jpg
17739,Kashpitzki Noa,"Jul  17, 1985",0,https://cdn.myanimelist.net/images/voiceactors/3/20107.jpg
6459,Yamauchi Shigeyasu,"Apr  10, 1953",71,https://cdn.myanimelist.net/images/voiceactors/2/15245.jpg
10175,Sasaki Bin,"Jul  31, 1942",12,https://cdn.myanimelist.net/images/voiceactors/1/20965.jpg
21453,Gama Gabriel,Unknown,6,https://cdn.myanimelist.net/images/voiceactors/1/24625.jpg
37545,Hooks Lainee,Unknown,16,https://cdn.myanimelist.net/images/voiceactors/2/39864.jpg
39796,Towne Maryann,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/42850.jpg
5578,Inoue Nana,"Jul  11, 1983",10,https://cdn.myanimelist.net/images/voiceactors/2/44255.jpg
43718,Tatini Adrian,Unknown,61,https://cdn.myanimelist.net/images/voiceactors/3/57562.jpg
53997,Shirasu Keiko,"Feb  27, 1985",0,https://cdn.myanimelist.net/images/voiceactors/3/63117.jpg
51176,Kuu,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/59103.jpg
56736,Casas Adriana,"Jul  17, 1967",0,https://cdn.myanimelist.net/images/voiceactors/1/67632.jpg
39962,mao,Dec  20,2,https://cdn.myanimelist.net/images/voiceactors/2/60895.jpg
12636,Yoshitaka Yuriko,"Jul  22, 1988",8,https://cdn.myanimelist.net/images/voiceactors/2/12606.jpg
56809,Oomugi Koala,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/67759.jpg
7446,Ishizuka Shinichi,Unknown,14,https://cdn.myanimelist.net/images/voiceactors/1/60048.jpg
20088,Choi Eun-Young,Unknown,158,https://cdn.myanimelist.net/images/voiceactors/2/64364.jpg
49420,Kawano Mari,Apr  8,0,https://cdn.myanimelist.net/images/voiceactors/3/56710.jpg
1211,Rohrbeck Oliver,"Mar  21, 1965",2,https://cdn.myanimelist.net/images/voiceactors/3/39181.jpg
10215,Uetake Kana,Jul  17,1,https://cdn.myanimelist.net/images/voiceactors/2/8522.jpg
1357,Kikuchi Shouko,"Jul  24, 1970",1,https://cdn.myanimelist.net/images/voiceactors/3/12409.jpg
29447,Miura Shion,"Sep  23, 1976",28,https://cdn.myanimelist.net/images/voiceactors/1/43791.jpg
50356,Sinclair Skyler,Unknown,2,https://cdn.myanimelist.net/images/voiceactors/1/58095.jpg
47810,Inoue Jun,Mar  10,0,https://cdn.myanimelist.net/images/voiceactors/1/51982.jpg
435,Touma Yumi,"Dec  20, 1966",77,https://cdn.myanimelist.net/images/voiceactors/3/54879.jpg
18173,Adachi Keiji,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/1/54355.jpg
48390,EMPiRE,"Aug  23, 2017",35,https://cdn.myanimelist.net/images/voiceactors/1/53742.jpg
6950,Iwanashi Naoya,"Feb  21, 1979",1,https://cdn.myanimelist.net/images/voiceactors/2/12805.jpg
29671,Kobayashi Katsuhiko,"Jan  15, 1937",1,https://cdn.myanimelist.net/images/voiceactors/2/30965.jpg
3347,Fujii Sakuya,Jan  16,6,https://cdn.myanimelist.net/images/voiceactors/1/3364.jpg
787,Watson Jeffrey,Unknown,2,https://cdn.myanimelist.net/images/voiceactors/1/19907.jpg
6094,Seazer J. A.,"Oct  6, 1948",66,https://cdn.myanimelist.net/images/voiceactors/3/2701.jpg
15079,Juno Reactor,Unknown,6,https://cdn.myanimelist.net/images/voiceactors/3/15909.jpg
49519,Kuroi Morry,May  3,1,https://cdn.myanimelist.net/images/voiceactors/2/56781.jpg
259,Nakao Ryusei,"Feb  5, 1951",969,https://cdn.myanimelist.net/images/voiceactors/1/65678.jpg
19401,Leroux Gaston,"May  6, 1868",0,https://cdn.myanimelist.net/images/voiceactors/2/22169.jpg
29113,Oda Keita, 2003,0,https://cdn.myanimelist.net/images/voiceactors/3/53544.jpg
40468,Field of View,Unknown,11,https://cdn.myanimelist.net/images/voiceactors/3/43476.jpg
4217,Kanda Waka,"Mar  20, 1962",2,https://cdn.myanimelist.net/images/voiceactors/3/16545.jpg
9361,Itou Yoshiyuki,Unknown,14,https://cdn.myanimelist.net/images/voiceactors/2/46961.jpg
16559,Kawase Kouhei,"Apr  17, 1971",17,https://cdn.myanimelist.net/images/voiceactors/1/53730.jpg
1285,Invernici Felice,"Oct  24, 1961",3,https://cdn.myanimelist.net/images/voiceactors/2/1278.jpg
33725,Mehani Taric,"Dec  25, 1971",4,https://cdn.myanimelist.net/images/voiceactors/3/34743.jpg
22045,Tanaka Hiroyuki,"Apr  22, 1971",5,https://cdn.myanimelist.net/images/voiceactors/1/25267.jpg
36649,Nagashima Mina,"May  30, 1989",1,https://cdn.myanimelist.net/images/voiceactors/2/38649.jpg
33031,Nishida Mitsutaka,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/40244.jpg
15617,Ayukawa Mami,"Mar  29, 1961",6,https://cdn.myanimelist.net/images/voiceactors/3/17031.jpg
40011,Weinger Scott,"Oct  5, 1975",0,https://cdn.myanimelist.net/images/voiceactors/1/40249.jpg
1046,Woren Dan,"Jan  8, 1952",30,https://cdn.myanimelist.net/images/voiceactors/1/39948.jpg
53293,Aoyama Nagisa,"May  16, 1998",113,https://cdn.myanimelist.net/images/voiceactors/2/61788.jpg
5405,Kyouda Tomoki,"Jan  22, 1970",38,https://cdn.myanimelist.net/images/voiceactors/1/42580.jpg
5,Suzumura Kenichi,"Sep  12, 1974",5178,https://cdn.myanimelist.net/images/voiceactors/1/62005.jpg
28849,Sidu,"Sep  4, 1993",199,https://cdn.myanimelist.net/images/voiceactors/2/32139.jpg
422,Matsumoto Marika,"Sep  12, 1984",54,https://cdn.myanimelist.net/images/voiceactors/2/59285.jpg
45697,Höppner Gregor, 1959,1,https://cdn.myanimelist.net/images/voiceactors/1/49207.jpg
930,Kanada Aki,"Aug  18, 1983",30,https://cdn.myanimelist.net/images/voiceactors/1/14283.jpg
43008,Zito Giacomo,"Jul  29, 1963",0,https://cdn.myanimelist.net/images/voiceactors/2/46502.jpg
21703,Yamamoto Linda,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/24915.jpg
56069,Ruhl Michel,"Feb  2, 1934",0,https://cdn.myanimelist.net/images/voiceactors/3/66401.jpg
37714,Billy,"Nov  16, 1980",2,https://cdn.myanimelist.net/images/voiceactors/2/39852.jpg
4698,Morizono Milk,"Dec  25, 1957",2,https://cdn.myanimelist.net/images/voiceactors/2/9537.jpg
1951,Ditama Bow,Unknown,80,https://cdn.myanimelist.net/images/voiceactors/1/4452.jpg
18987,Lawlor J. Patrick,"Jun  27, 1972",0,https://cdn.myanimelist.net/images/voiceactors/1/21431.jpg
30561,Platinum Peppers Family, 1995,0,https://cdn.myanimelist.net/images/voiceactors/3/31805.jpg
48848,Mukai Taichi,"Mar  13, 1992",50,https://cdn.myanimelist.net/images/voiceactors/1/55630.jpg
45738,Tielle,Unknown,37,https://cdn.myanimelist.net/images/voiceactors/3/63802.jpg
7615,Bevis Andrew,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/41844.jpg
19307,Bautsch Ross,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/43553.jpg
10854,Tatsuki,Unknown,266,https://cdn.myanimelist.net/images/voiceactors/2/49061.jpg
947,Kamiki Ryunosuke,"May  19, 1993",662,https://cdn.myanimelist.net/images/voiceactors/2/47205.jpg
510,Lau Gwendolyn,"Mar  23, 1975",1,https://cdn.myanimelist.net/images/voiceactors/3/23044.jpg
40938,Headey Lena,"Oct  3, 1973",14,https://cdn.myanimelist.net/images/voiceactors/2/44667.jpg
46067,Nicholson Nico,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/45407.jpg
56546,Dolène Lucie,"Jun  17, 1931",0,https://cdn.myanimelist.net/images/voiceactors/3/67301.jpg
305,Stori Moneca,"Jan  17, 1970",49,https://cdn.myanimelist.net/images/voiceactors/2/23351.jpg
1162,Ponticelli Benedetta,"Dec  22, 1979",2,https://cdn.myanimelist.net/images/voiceactors/3/22467.jpg
11922,Olivero Alberto,"Nov  22, 1959",12,https://cdn.myanimelist.net/images/voiceactors/1/26697.jpg
40512,Kotama Hikaru,"Jul  4, 1999",2,https://cdn.myanimelist.net/images/voiceactors/2/43635.jpg
9873,Ishida Kayo,"Jun  18, 1986",6,https://cdn.myanimelist.net/images/voiceactors/1/44518.jpg
18453,Akina,"Nov  2, 1995",22,https://cdn.myanimelist.net/images/voiceactors/1/42451.jpg
1744,Kote Shinya,"Dec  25, 1973",0,https://cdn.myanimelist.net/images/voiceactors/2/1626.jpg
41397,Bonetto Giuliano,"Aug  4, 1971",0,https://cdn.myanimelist.net/images/voiceactors/2/43269.jpg
47510,Huang Ling,"Feb  13, 1987",0,https://cdn.myanimelist.net/images/voiceactors/3/51533.jpg
49073,Hayashi Maki,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/2/58073.jpg
56479,Oka Nobuaki,"Sep  10, 1993",0,https://cdn.myanimelist.net/images/voiceactors/1/67258.jpg
39128,Hara Natsuko,"Jul  6, 1988",19,https://cdn.myanimelist.net/images/voiceactors/2/43616.jpg
47137,Sasaki Takuma,Jan  3,0,https://cdn.myanimelist.net/images/voiceactors/3/51021.jpg
55477,Shiba Ryoutarou,"Aug  7, 1923",0,https://cdn.myanimelist.net/images/voiceactors/3/65572.jpg
23599,NO NAME,May  2012,11,https://cdn.myanimelist.net/images/voiceactors/1/45701.jpg
6725,Yamagata Kaori,"Feb  27, 1963",1,https://cdn.myanimelist.net/images/voiceactors/2/56659.jpg
2770,Nishimori Hiroyuki,"Nov  23, 1963",106,https://cdn.myanimelist.net/images/voiceactors/1/27537.jpg
11238,Woo Yeong-Wook,"Mar  2, 0005",3,https://cdn.myanimelist.net/images/voiceactors/3/30287.jpg
10864,Miyazaki Maya,May  2,60,https://cdn.myanimelist.net/images/voiceactors/2/44426.jpg
10920,Go Yeong-Hun,Unknown,31,https://cdn.myanimelist.net/images/voiceactors/2/38333.jpg
39957,Iwaki Yumi,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/43052.jpg
2910,Kuroda Iou,Unknown,14,https://cdn.myanimelist.net/images/voiceactors/3/4682.jpg
22183,Yamakita Saki,"Feb  28, 1991",25,https://cdn.myanimelist.net/images/voiceactors/3/42678.jpg
12162,Lee Yoo-Jung,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/11584.jpg
7324,Ishikawa Momoko,Jul  16,3,https://cdn.myanimelist.net/images/voiceactors/3/11853.jpg
47683,Hirano Tooru,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/51825.jpg
11893,Takakura Yuka,Feb  5,11,https://cdn.myanimelist.net/images/voiceactors/1/11122.jpg
49135,Ibarakino,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/3/57595.jpg
47841,Yoshimura Nanami,"Jan  21, 1993",1,https://cdn.myanimelist.net/images/voiceactors/3/52026.jpg
45607,Kikuchi Takeru,"Jan  15, 1995",8,https://cdn.myanimelist.net/images/voiceactors/2/53808.jpg
46839,Suda Keina,Unknown,78,https://cdn.myanimelist.net/images/voiceactors/2/56567.jpg
16417,tanu,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/48556.jpg
46655,Aoi Sola,"Nov  11, 1983",1,https://cdn.myanimelist.net/images/voiceactors/2/50448.jpg
43678,Terujirou,"Oct  14, 1985",1,https://cdn.myanimelist.net/images/voiceactors/2/46984.jpg
30099,Tomita Nakajirou,"Nov  1, 1911",0,https://cdn.myanimelist.net/images/voiceactors/3/31469.jpg
14889,Hiiragi,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/3/15537.jpg
44173,Brendel Moritz,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/2/47613.jpg
11977,Hashimoto Ushio,"Sep  22, 1965",2,https://cdn.myanimelist.net/images/voiceactors/2/11269.jpg
42849,Chirico Enrico,"Apr  22, 1974",0,https://cdn.myanimelist.net/images/voiceactors/1/46636.jpg
8864,Nikaido Yukiko,"Oct  27, 1940",6,https://cdn.myanimelist.net/images/voiceactors/1/22001.jpg
43237,Imai Atsushi,"Apr  25, 1957",0,https://cdn.myanimelist.net/images/voiceactors/3/45504.jpg
56798,Akheddiou Myriem,"Sep  27, 1978",0,https://cdn.myanimelist.net/images/voiceactors/2/67728.jpg
50867,Sumitani Momoka,"Nov  20, 2004",1,https://cdn.myanimelist.net/images/voiceactors/2/58542.jpg
1104,Fanning Dakota,"Feb  23, 1994",13,https://cdn.myanimelist.net/images/voiceactors/1/38595.jpg
43712,Helena Lúcia,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/48837.jpg
3028,Miuchi Suzue,"Feb  20, 1951",25,https://cdn.myanimelist.net/images/voiceactors/2/39753.jpg
40469,Knock Out Monkey,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/2/42886.jpg
11452,Kawade Yuuko,May  12,1,https://cdn.myanimelist.net/images/voiceactors/1/13333.jpg
766,Latini Ilaria,"Oct  21, 1972",12,https://cdn.myanimelist.net/images/voiceactors/3/44856.jpg
2932,Sakuraba Kazuki,Unknown,24,https://cdn.myanimelist.net/images/voiceactors/2/22135.jpg
46789,Mineuchi Tomomi,"Dec  22, 1997",48,https://cdn.myanimelist.net/images/voiceactors/1/63737.jpg
5525,Nanajima Kana,Jun  24,15,https://cdn.myanimelist.net/images/voiceactors/3/31643.jpg
5322,Manda Ringo,Unknown,7,https://cdn.myanimelist.net/images/voiceactors/2/23140.jpg
29389,Yusen Isamu,Jan  10,3,https://cdn.myanimelist.net/images/voiceactors/1/45840.jpg
61,Saitou Chiwa,"Mar  12, 1981",10052,https://cdn.myanimelist.net/images/voiceactors/3/63404.jpg
41751,Akikawa Ayumu,Oct  3,3,https://cdn.myanimelist.net/images/voiceactors/1/44956.jpg
12118,Kamei Saburou,"Apr  3, 1938",0,https://cdn.myanimelist.net/images/voiceactors/1/11472.jpg
20476,Itchart Eduard,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/1/42506.jpg
1536,Corn Kevin,Unknown,12,https://cdn.myanimelist.net/images/voiceactors/1/9295.jpg
18297,Aruya,Unknown,2,https://cdn.myanimelist.net/images/voiceactors/3/20787.jpg
20256,Bittarello Fabiola,"Dec  15, 1979",5,https://cdn.myanimelist.net/images/voiceactors/1/22515.jpg
18757,Yadoya Tsuzuku,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/3/34785.jpg
55250,Yumiki Erino,"Aug  8, 1990",0,https://cdn.myanimelist.net/images/voiceactors/1/65097.jpg
54387,alt-J,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/2/63956.jpg
39622,Oguri Kazumata,"Nov  18, 1974",0,https://cdn.myanimelist.net/images/voiceactors/1/44372.jpg
17799,Iwane Masaaki,"Aug  13, 1965",23,https://cdn.myanimelist.net/images/voiceactors/2/43497.jpg
13167,Irie Jingi,"May  18, 1993",6,https://cdn.myanimelist.net/images/voiceactors/2/13469.jpg
46073,Ramos Ezio,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/62825.jpg
43793,Bartley Ryan,Feb  3,45,https://cdn.myanimelist.net/images/voiceactors/1/47361.jpg
51734,Bakuya,Dec  23,0,https://cdn.myanimelist.net/images/voiceactors/1/60208.jpg
43929,Perilli Francesca,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/47440.jpg
39112,Horikoshi Tomisaburou,"Jun  2, 1954",1,https://cdn.myanimelist.net/images/voiceactors/3/41781.jpg
7616,Sutherland Kristine,"Apr  15, 1955",0,https://cdn.myanimelist.net/images/voiceactors/1/4763.jpg
2632,Enomoto Tsubaki,Jul  3,3,https://cdn.myanimelist.net/images/voiceactors/3/3929.jpg
9886,Bienaimé Nathalie,Unknown,8,https://cdn.myanimelist.net/images/voiceactors/2/28827.jpg
21361,Brockmeyer Claus, 1953,0,https://cdn.myanimelist.net/images/voiceactors/3/24507.jpg
26641,Hayashi Naotaka,Unknown,149,https://cdn.myanimelist.net/images/voiceactors/2/49712.jpg
36953,Yamako,Mar  12,20,https://cdn.myanimelist.net/images/voiceactors/3/39121.jpg
51447,Shibata Hikari,Nov  6,0,https://cdn.myanimelist.net/images/voiceactors/1/59624.jpg
38493,Nagabe,"Aug  1, 1993",272,https://cdn.myanimelist.net/images/voiceactors/3/54621.jpg
7848,Kocsis Mariann,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/2/5102.jpg
6707,Inoue Joe,"Aug  30, 1985",159,https://cdn.myanimelist.net/images/voiceactors/2/9956.jpg
9109,Marinker Peter,Unknown,2,https://cdn.myanimelist.net/images/voiceactors/2/41875.jpg
55450,Furukawahara Momoka, 1998,0,https://cdn.myanimelist.net/images/voiceactors/2/65448.jpg
42949,Bismuto Connie,"Jan  18, 1975",0,https://cdn.myanimelist.net/images/voiceactors/1/46392.jpg
43683,Nitta Anju,"Aug  16, 1992",5,https://cdn.myanimelist.net/images/voiceactors/1/56501.jpg
12847,Ogura Nobutoshi,Unknown,14,https://cdn.myanimelist.net/images/voiceactors/2/13161.jpg
45566,Simpson Dirc,"Sep  28, 1968",0,https://cdn.myanimelist.net/images/voiceactors/1/49017.jpg
5482,Takamori Nao,"Oct  10, 1973",10,https://cdn.myanimelist.net/images/voiceactors/3/11879.jpg
1746,Asano Ruri,"Feb  18, 1974",3,https://cdn.myanimelist.net/images/voiceactors/1/1628.jpg
36665,Oyama Kei, 1978,39,https://cdn.myanimelist.net/images/voiceactors/1/38669.jpg
43067,Danti Federico,"Mar  24, 1952",0,https://cdn.myanimelist.net/images/voiceactors/1/46565.jpg
20102,Hatsumi Kouichi,Unknown,21,https://cdn.myanimelist.net/images/voiceactors/3/44776.jpg
55413,Pestel Charles,"Aug  26, 1978",0,https://cdn.myanimelist.net/images/voiceactors/2/65056.jpg
52639,Mokutan Angelo,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/3/61109.jpg
42053,Kurakane Shousuke,"Feb  13, 1914",0,https://cdn.myanimelist.net/images/voiceactors/1/44849.jpg
23927,Alpert Stephen,Unknown,7,https://cdn.myanimelist.net/images/voiceactors/3/33839.jpg
30591,Nagaoka Yasuchika, 1959,1,https://cdn.myanimelist.net/images/voiceactors/2/31789.jpg
50072,Saitou Junichirou,"Jan  15, 1980",1,https://cdn.myanimelist.net/images/voiceactors/2/54213.jpg
2321,Moriyama Daisuke,"Sep  11, 1971",63,https://cdn.myanimelist.net/images/voiceactors/3/3164.jpg
1804,Nishimura Trina,"Aug  8, 1983",593,https://cdn.myanimelist.net/images/voiceactors/2/49124.jpg
3765,Kurasawa Mota,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/44926.jpg
6397,Otsuka Mizue,"Mar  21, 1968",2,https://cdn.myanimelist.net/images/voiceactors/3/33373.jpg
54804,Yabai-chan,Jul  9,0,https://cdn.myanimelist.net/images/voiceactors/2/64329.jpg
46465,Herrero Anselmo,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/50069.jpg
21789,Horiuchi Takashi,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/46609.jpg
26067,Sakata Yuki,Nov  22,16,https://cdn.myanimelist.net/images/voiceactors/3/28337.jpg
43234,Kuwabara Mako, 1987,1,https://cdn.myanimelist.net/images/voiceactors/3/60925.jpg
52725,Aikawa Kanata,"Oct  20, 2004",304,https://cdn.myanimelist.net/images/voiceactors/2/61183.jpg
35205,Matenrou Opera, 2007,12,https://cdn.myanimelist.net/images/voiceactors/1/36225.jpg
11070,Matsushita Komina,"Dec  15, 1975",0,https://cdn.myanimelist.net/images/voiceactors/1/9910.jpg
4423,Taka Tony, 1971,406,https://cdn.myanimelist.net/images/voiceactors/3/4775.jpg
3,Yukino Satsuki,"May  25, 1970",1640,https://cdn.myanimelist.net/images/voiceactors/2/18113.jpg
56808,Lazysheep,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/67756.jpg
27841,Serizawa Hiroaki,"Jan  3, 1948",8,https://cdn.myanimelist.net/images/voiceactors/3/29223.jpg
54077,Fukumoto Riko,"Nov  25, 2000",1,https://cdn.myanimelist.net/images/voiceactors/2/63260.jpg
38399,Fukushima Yuuko,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/40920.jpg
16393,Ohno Sawa,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/3/18861.jpg
50495,Daniels Joe,Unknown,4,https://cdn.myanimelist.net/images/voiceactors/2/58225.jpg
9892,Kondo Natsuko,Unknown,3,https://cdn.myanimelist.net/images/voiceactors/3/7877.jpg
5961,Kikuya Tomoki,"Feb  21, 1968",19,https://cdn.myanimelist.net/images/voiceactors/3/2573.jpg
55547,Caradec Hervé,"Sep  27, 1946",0,https://cdn.myanimelist.net/images/voiceactors/1/65725.jpg
8713,Hatsu Akiko,"Dec  16, 1959",2,https://cdn.myanimelist.net/images/voiceactors/1/6078.jpg
31681,Niimura Ken,"Oct  19, 1981",1,https://cdn.myanimelist.net/images/voiceactors/2/36625.jpg
44237,Dost Johanna,Unknown,0,https://cdn.myanimelist.net/images/voiceactors/1/47697.jpg
46403,Kouda Saori,"Dec  3, 1991",0,https://cdn.myanimelist.net/images/voiceactors/3/49989.jpg
41338,Sonoe Osamu,"Mar  15, 1941",0,https://cdn.myanimelist.net/images/voiceactors/1/44387.jpg
23771,Kaku Yuuji,Unknown,187,https://cdn.myanimelist.net/images/voiceactors/1/66256.jpg
15769,Yoshikawa Hideaki,Unknown,11,https://cdn.myanimelist.net/images/voiceactors/3/54372.jpg
31383,Yuui Ryoko,"Aug  10, 1976",0,https://cdn.myanimelist.net/images/voiceactors/2/32621.jpg
12529,Sogo Masashi, 1962,16,https://cdn.myanimelist.net/images/voiceactors/1/15297.jpg
